date,regime,volatility,drawdown,trend_signal,risk_multiplier,benchmark,detection_method
2020-12-10,0,0.25214340929094325,0.0,1,0.5,A,rules
2020-12-11,0,0.2530127661720435,-0.0027775439777796337,1,0.5,A,rules
2020-12-14,0,0.2613512029204791,-0.017422775860617856,1,0.5,A,rules
2020-12-15,0,0.26137298251445223,-0.011951855904385167,1,0.5,A,rules
2020-12-16,0,0.26065112481765945,-0.013214375894285054,1,0.5,A,rules
2020-12-17,1,0.21869112333472066,0.0,1,1.0,A,rules
2020-12-18,1,0.20584198424272446,0.0,1,1.0,A,rules
2020-12-21,1,0.20611471842072554,-0.012740989103101391,1,1.0,A,rules
2020-12-22,1,0.20462654534854155,-0.01617770326906951,1,1.0,A,rules
2020-12-23,1,0.19107044014226035,-0.016764459346186086,1,1.0,A,rules
2020-12-24,1,0.19052079558091803,-0.016680637049455112,1,1.0,A,rules
2020-12-28,1,0.1903177075703811,-0.012321877619446763,1,1.0,A,rules
2020-12-29,1,0.17105332388886063,-0.017351215423302542,1,1.0,A,rules
2020-12-30,1,0.1636046980170713,-0.016010058675607685,1,1.0,A,rules
2020-12-31,1,0.16351652140247103,-0.006789606035205384,1,1.0,A,rules
2021-01-04,1,0.15889587230317678,-0.00553227158424138,1,1.0,A,rules
2021-01-05,1,0.15463838766065938,0.0,1,1.0,A,rules
2021-01-06,1,0.17552222812879625,0.0,1,1.0,A,rules
2021-01-07,1,0.18143626375949287,0.0,1,1.0,A,rules
2021-01-08,1,0.1785415367183994,0.0,1,1.0,A,rules
2021-01-11,1,0.16882416196038239,0.0,1,1.0,A,rules
2021-01-12,1,0.17364367480426915,-0.00920795942255175,1,1.0,A,rules
2021-01-13,1,0.16052213058286613,-0.009129925868123306,1,1.0,A,rules
2021-01-14,1,0.1657123095179089,-0.01654311353882173,1,1.0,A,rules
2021-01-15,1,0.16493056563031427,-0.01513850955911051,1,1.0,A,rules
2021-01-19,1,0.16106809793507407,-0.006242684354272426,1,1.0,A,rules
2021-01-20,1,0.16128712216683166,-0.00031213421771355475,1,1.0,A,rules
2021-01-21,1,0.15637775336534068,-0.00897385875926653,1,1.0,A,rules
2021-01-22,1,0.15761401921253962,-0.014202106905969625,1,1.0,A,rules
2021-01-25,1,0.16130691702519703,-0.020834959032383936,1,1.0,A,rules
2021-01-26,1,0.17059624017608188,-0.03300819352321501,1,1.0,A,rules
2021-01-27,1,0.2312847391118252,-0.072961373390558,1,1.0,A,rules
2021-01-28,1,0.24370283323924605,-0.051424112368318405,1,1.0,A,rules
2021-01-29,1,0.2482869363957419,-0.06227077643386659,1,1.0,A,rules
2021-02-01,1,0.2469906825168074,-0.05712056184159194,1,1.0,A,rules
2021-02-02,0,0.255522173309182,-0.03870464299648855,1,0.5,A,rules
2021-02-03,0,0.2570056190576231,-0.046820132657042525,1,0.5,A,rules
2021-02-04,1,0.24419116455180906,-0.03183769020678902,1,1.0,A,rules
2021-02-05,1,0.2251524197277321,-0.038782676550916884,1,1.0,A,rules
2021-02-08,1,0.22336755650573284,-0.036987904799063664,1,1.0,A,rules
2021-02-09,1,0.22026542181938583,-0.03831447522434655,1,1.0,A,rules
2021-02-10,1,0.22617015463849727,-0.02395630120952015,1,1.0,A,rules
2021-02-11,1,0.23293703390894016,-0.009285992976980195,1,1.0,A,rules
2021-02-12,1,0.23275425330505256,-0.0013265704252828849,1,1.0,A,rules
2021-02-16,1,0.23277627960584696,-0.0015606710885681064,1,1.0,A,rules
2021-02-17,1,0.23813919568276704,0.0,1,1.0,A,rules
2021-02-18,1,0.24753377853000577,-0.018751921303412217,1,1.0,A,rules
2021-02-19,1,0.2465982223922343,-0.02497694435905318,1,1.0,A,rules
2021-02-22,0,0.26369573250721007,-0.05087611435597913,1,0.5,A,rules
2021-02-23,0,0.26437301019354825,-0.059176145096833714,1,0.5,A,rules
2021-02-24,0,0.2721345122549295,-0.03919458960959121,1,0.5,A,rules
2021-02-25,1,0.241162839339649,-0.06163541346449439,1,1.0,A,rules
2021-02-26,1,0.22706433831570658,-0.06186596987396258,1,1.0,A,rules
2021-03-01,1,0.23258423435279796,-0.04334460498001845,1,1.0,A,rules
2021-03-02,1,0.23410614978021338,-0.049800184445127606,1,1.0,A,rules
2021-03-03,0,0.256759542694595,-0.0831540116815248,1,0.5,A,rules
2021-03-04,0,0.28407276333336795,-0.1162772825084538,1,0.5,A,rules
2021-03-05,0,0.2798056309655288,-0.1074392868121734,1,0.5,A,rules
2021-03-08,0,0.2795331300435979,-0.10790039963110978,1,0.5,A,rules
2021-03-09,0,0.3060556257944171,-0.07900399631109746,1,0.5,A,rules
2021-03-10,0,0.30618782470972133,-0.0778512142637566,0,0.5,A,rules
2021-03-11,0,0.3064728716278881,-0.06371042114970801,0,0.5,A,rules
2021-03-12,0,0.30049074139588944,-0.06670765447279439,0,0.5,A,rules
2021-03-15,0,0.31004277675042025,-0.04672609898555179,0,0.5,A,rules
2021-03-16,0,0.3109915057656693,-0.05471872118044885,0,0.5,A,rules
2021-03-17,0,0.303026062101347,-0.05840762373193981,0,0.5,A,rules
2021-03-18,0,0.29726885308515116,-0.057869658776513996,0,0.5,A,rules
2021-03-19,0,0.2969241706121073,-0.057101137411620095,0,0.5,A,rules
2021-03-22,0,0.2830964672543585,-0.050030740854595794,0,0.5,A,rules
2021-03-23,0,0.28538686953671505,-0.06255763910236704,0,0.5,A,rules
2021-03-24,0,0.275645267166166,-0.07131878266215802,0,0.5,A,rules
2021-03-25,0,0.2653418842272479,-0.06317245619428219,0,0.5,A,rules
2021-03-26,0,0.2867296267398423,-0.034429757147248725,0,0.5,A,rules
2021-03-29,0,0.2787283023251422,-0.036120504150015394,0,0.5,A,rules
2021-03-30,0,0.2780947581147074,-0.04057792806640025,0,0.5,A,rules
2021-03-31,0,0.2504058861000941,-0.022901936673839562,0,0.5,A,rules
2021-04-01,0,0.20250444514363433,-0.01867506916692289,0,0.5,A,rules
2021-04-05,0,0.2069671096499407,-0.0009222256378727678,0,0.5,A,rules
2021-04-06,1,0.2057607607238371,0.0,1,1.0,A,rules
2021-04-07,1,0.19157258646067693,-0.012973137973137887,1,1.0,A,rules
2021-04-08,1,0.19266632812349324,-0.0026709401709401276,1,1.0,A,rules
2021-04-09,1,0.18927657850548463,0.0,1,1.0,A,rules
2021-04-12,1,0.1902036405433364,-0.004851792889090944,1,1.0,A,rules
2021-04-13,1,0.18211269453722823,0.0,1,1.0,A,rules
2021-04-14,1,0.1813865572400081,-0.007520493344363391,1,1.0,A,rules
2021-04-15,1,0.18045286130036542,0.0,1,1.0,A,rules
2021-04-16,1,0.18089392381710043,0.0,1,1.0,A,rules
2021-04-19,1,0.18608381777719105,-0.008024966562639414,1,1.0,A,rules
